Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_diff
685554,1518144,2023-05-05,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,2.1053,1.6988,1.8333,"0,1","1,73","1,94","10099,857624","98,19","500,65",0,1900-01-01,0.4065000000000001,-1.4267999999999998,-0.4934999999999999,0.0186999999999999
686319,1519674,2023-05-08,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,2.1342,1.6889,1.8509,"0,11","1,74","1,96","10102,228696","98,15","499,6922",0,1900-01-01,0.4452999999999998,-1.4056000000000002,-0.4547000000000002,0.0176
687084,1521204,2023-05-09,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,2.135,1.6959,1.8517,"0,07","1,78","1,92","10108,051407","98,16","498,3895",0,1900-01-01,0.4390999999999998,-1.4126,-0.4609000000000002,0.0007999999999999
687849,1522734,2023-05-10,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,2.1278,1.7062,1.8414,"0,14","1,7","1,98","10115,918494","98,18","497,4621",0,1900-01-01,0.4216000000000002,-1.4197999999999995,-0.4783999999999998,-0.0102999999999999
688614,1524264,2023-05-11,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,2.125,1.6822,1.842,"0,11","1,73","1,96","10121,579755","98,18","496,7071",0,1900-01-01,0.4428000000000001,-1.3992,-0.4571999999999999,0.0006000000000001
689379,1525794,2023-05-12,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,2.143,1.6959,1.8425,"0,07","1,77","1,91","10127,43632","98,19","495,4908",0,1900-01-01,0.4470999999999998,-1.3954000000000002,-0.4529000000000002,0.0004999999999999
690143,1527320,2023-05-15,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,2.1493,1.6959,1.8524,"0,07","1,78","1,92","10131,333087","98,17","494,6043",0,1900-01-01,0.4534000000000002,-1.3989999999999998,-0.4465999999999998,0.0099
690905,1528844,2023-05-16,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,2.1493,1.6959,1.8557,"0,06","1,8","1,92","10136,61655","98,17","493,4868",0,1900-01-01,0.4534000000000002,-1.4022999999999997,-0.4465999999999998,0.0032999999999998
691667,1530368,2023-05-17,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,2.1325,1.6899,1.8566,"0,07","1,79","1,93","10142,41228","98,17","492,2677",0,1900-01-01,0.4425999999999999,-1.414,-0.4574000000000001,0.0009000000000001
692428,1531890,2023-05-18,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,2.1463,1.6939,1.8611,"0,06","1,8","1,92","10147,361467","98,17","491,4415",0,1900-01-01,0.4524000000000001,-1.4086999999999998,-0.4475999999999999,0.0044999999999999
693189,1533412,2023-05-19,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,2.1303,1.6877,1.8577,"0,07","1,79","1,92","10153,919762","98,18","490,4409",0,1900-01-01,0.4426000000000001,-1.4150999999999998,-0.4573999999999999,-0.0034
693950,1534925,2023-05-22,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,2.1311,1.6937,1.867,"0,03","1,83","1,9","10158,07143","98,16","489,2873",0,1900-01-01,0.4374,-1.4296,-0.4626,0.0093
694702,1536429,2023-05-23,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,2.0551,1.698,1.8585,"0,08","1,78","1,94","10165,555791","98,18","488,46",0,1900-01-01,0.3571,-1.5014,-0.5429,-0.0084999999999999
695454,1537933,2023-05-24,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,2.0453,1.6978,1.8471,"0,06","1,79","1,91","10173,600275","98,21","487,65",0,1900-01-01,0.3475000000000001,-1.4995999999999998,-0.5524999999999999,-0.0114
696206,1539458,2023-05-25,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,2.0248,1.6901,1.826,"0,06","1,77","1,89","10183,391386","98,25","487,19",0,1900-01-01,0.3347,-1.4913,-0.5653,-0.0210999999999998
696979,1541004,2023-05-26,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,2.063,1.6829,1.8264,"0,06","1,77","1,89","10189,179827","98,25","486,29",0,1900-01-01,0.3801000000000001,-1.4463,-0.5198999999999999,0.0003999999999999
697752,1542549,2023-05-29,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.9352,1.6529,1.8017,"0,09","1,71","1,89","10199,918608","98,3","485,14",35,1900-01-01,0.2823,-1.5194,-0.6177,-0.0246999999999999
698523,1544091,2023-05-30,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.9041,1.6094,1.779,"0,09","1,69","1,86","10210,148138","98,34","484,31",10,1900-01-01,0.2946999999999999,-1.4843,-0.6053000000000001,-0.0227000000000001
699294,1545639,2023-05-31,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.9161,1.5923,1.7477,"0,08","1,66","1,83","10222,111842","98,41","483,25",5,1900-01-01,0.3237999999999998,-1.4239000000000002,-0.5762000000000002,-0.0312999999999998
700071,1547193,2023-06-01,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.9321,1.5776,1.7471,"0,08","1,66","1,83","10228,093458","98,41","482,33",0,1900-01-01,0.3545,-1.3926,-0.5455,-0.0005999999999999
700848,1548747,2023-06-02,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.9247,1.5972,1.7538,"0,09","1,66","1,84","10232,723379","98,4","481,27",0,1900-01-01,0.3275000000000001,-1.4263,-0.5724999999999999,0.0066999999999999
701625,1550301,2023-06-05,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.9202,1.5847,1.7434,"0,1","1,64","1,84","10240,446838","98,42","480,8",0,1900-01-01,0.3354999999999999,-1.4079000000000002,-0.5645000000000001,-0.0103999999999999
702402,1551855,2023-06-06,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.8754,1.5551,1.7356,"0,07","1,66","1,81","10247,78716","98,44","479,99",35,1900-01-01,0.3203,-1.4153,-0.5797,-0.0078
703179,1554186,2023-06-07,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.8739,1.5526,1.7189,"0,08","1,64","1,79","10256,920476","98,47","478,92",10,1900-01-01,0.3212999999999999,-1.3976000000000002,-0.5787000000000001,-0.0166999999999999
703956,1555740,2023-06-09,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.8781,1.5748,1.7237,"0,08","1,65","1,8","10261,719041","98,47","478,48",5,1900-01-01,0.3033000000000001,-1.4204,-0.5966999999999999,0.0047999999999999
704733,1559625,2023-06-12,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.8651,1.5331,1.7147,"0,04","1,68","1,75","10269,319943","98,49","477,58",0,1900-01-01,0.3320000000000001,-1.3826999999999998,-0.568,-0.0090000000000001
705510,1561179,2023-06-13,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.8029,1.553,1.7047,"0,1","1,61","1,8","10277,286339","98,51","476,14",0,1900-01-01,0.2499,-1.4548,-0.6501,-0.0099999999999997
706287,1562730,2023-06-14,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.8406,1.5282,1.6861,"0,07","1,61","1,76","10286,709769","98,55","475,27",0,1900-01-01,0.3124,-1.3737,-0.5876,-0.0186000000000001
707059,1564273,2023-06-15,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.7898,1.3636,1.6839,"0,05","1,64","1,73","10292,999753","98,55","474,39",0,1900-01-01,0.4262000000000001,-1.2576999999999998,-0.4737999999999999,-0.0021999999999999
707830,1565815,2023-06-16,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.8115,1.5279,1.6784,"0,09","1,59","1,76","10299,990858","98,57","473,28",0,1900-01-01,0.2836000000000001,-1.3947999999999998,-0.6164,-0.0055
708601,1567357,2023-06-19,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.8241,1.527,1.673,"0,08","1,6","1,75","10306,938284","98,58","472,26",0,1900-01-01,0.2971000000000001,-1.3759,-0.6028999999999999,-0.0053999999999998
709372,1568899,2023-06-20,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.798,1.5412,1.6619,"0,07","1,59","1,73","10314,912619","98,6","471,42",0,1900-01-01,0.2568000000000001,-1.4050999999999998,-0.6431999999999999,-0.0111000000000001
710142,1571976,2023-06-21,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.7708,1.506,1.6664,"0,08","1,59","1,74","10319,999014","98,6","470,34",0,1900-01-01,0.2647999999999999,-1.4016000000000002,-0.6352000000000001,0.0045000000000001
710911,1573514,2023-06-22,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.8077,1.5081,1.6646,"0,09","1,58","1,75","10326,311849","98,6","469,16",0,1900-01-01,0.2996000000000001,-1.365,-0.6003999999999999,-0.0018
711680,1575052,2023-06-23,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.833,1.5094,1.6709,"0,04","1,63","1,71","10330,944087","98,59","468,47",0,1900-01-01,0.3235999999999999,-1.3473000000000002,-0.5764000000000001,0.0062999999999999
712449,1576590,2023-06-26,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.7835,1.5,1.6634,"0,06","1,6","1,73","10338,252686","98,61","467,59",0,1900-01-01,0.2835000000000001,-1.3799,-0.6164999999999999,-0.0075
713218,1578144,2023-06-27,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.7894,1.4962,1.6518,"0,09","1,56","1,74","10346,352093","98,63","466,65",0,1900-01-01,0.2932000000000001,-1.3585999999999998,-0.6067999999999999,-0.0116
714003,1579713,2023-06-28,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.7669,1.4669,1.6337,"0,09","1,54","1,73","10355,706281","98,67","465,61",0,1900-01-01,0.2999999999999998,-1.3337,-0.6000000000000002,-0.0181
714787,1581281,2023-06-29,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.7525,1.4479,1.6195,"0,1","1,52","1,72","10364,23037","98,7","464,88",0,1900-01-01,0.3046,-1.3149,-0.5954,-0.0141999999999999
715571,1582849,2023-06-30,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.7521,1.4288,1.6129,"0,11","1,5","1,72","10371,289796","98,71","464,25",0,1900-01-01,0.3232999999999999,-1.2896,-0.5767000000000001,-0.0065999999999999
716355,1584417,2023-07-03,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.7257,1.3677,1.5858,"0,11","1,48","1,69","10382,201894","98,76","463,66",0,1900-01-01,0.3580000000000001,-1.2278,-0.5419999999999999,-0.0270999999999999
717139,1585985,2023-07-04,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6921,1.4228,1.5683,"0,11","1,46","1,68","10391,462501","98,79","462,49",0,1900-01-01,0.2692999999999999,-1.2990000000000002,-0.6307000000000001,-0.0175
717923,1587550,2023-07-05,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.7384,1.4434,1.5641,"0,14","1,43","1,7","10398,225218","98,81","461,29",0,1900-01-01,0.2949999999999999,-1.2691,-0.6050000000000001,-0.0041999999999999
718704,1589112,2023-07-06,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.7119,1.3991,1.5656,"0,14","1,43","1,7","10403,923609","98,81","460,08",0,1900-01-01,0.3127999999999999,-1.2528,-0.5872,0.0015
719485,1590673,2023-07-07,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.7125,1.3973,1.56,"0,14","1,42","1,7","10410,793742","98,82","459,46",0,1900-01-01,0.3151999999999999,-1.2448,-0.5848000000000001,-0.0056
720265,1592233,2023-07-10,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6797,1.3568,1.5363,"0,11","1,43","1,64","10421,199849","98,86","458,28",0,1900-01-01,0.3228999999999999,-1.2134,-0.5771000000000001,-0.0237
721045,1593793,2023-07-11,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6471,1.3464,1.5165,"0,08","1,44","1,6","10430,833019","98,9","457,24",0,1900-01-01,0.3006999999999999,-1.2158,-0.5993,-0.0198
721825,1595352,2023-07-12,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6693,1.3555,1.5031,"0,08","1,42","1,59","10439,258493","98,93","456,22",0,1900-01-01,0.3138000000000001,-1.1893,-0.5861999999999999,-0.0133999999999998
722604,1596909,2023-07-13,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6876,1.3202,1.4983,"0,07","1,43","1,56","10446,122174","98,94","455,01",0,1900-01-01,0.3673999999999999,-1.1309,-0.5326000000000001,-0.0048000000000001
723382,1598465,2023-07-14,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6895,1.341,1.5112,"0,06","1,45","1,57","10449,697419","98,92","453,81",0,1900-01-01,0.3485,-1.1627,-0.5515,0.0129000000000001
724158,1599241,2023-07-17,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.7025,1.3629,1.508,"0,1","1,41","1,61","10456,160001","98,92","453,05",0,1900-01-01,0.3395999999999999,-1.1684,-0.5604000000000001,-0.0032
724933,1600791,2023-07-18,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.654,1.3415,1.5031,"0,08","1,42","1,58","10462,948925","98,94","452,26",0,1900-01-01,0.3125,-1.1906,-0.5875,-0.0048999999999999
725708,1602341,2023-07-19,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6478,1.335,1.4872,"0,08","1,41","1,57","10471,86124","98,97","451,11",0,1900-01-01,0.3127999999999999,-1.1744,-0.5872,-0.0159
726483,1603891,2023-07-20,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6551,1.3362,1.4863,"0,08","1,41","1,56","10478,006516","98,97","449,92",0,1900-01-01,0.3188999999999999,-1.1674,-0.5811000000000001,-0.0009000000000001
727258,1605441,2023-07-21,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6468,1.3232,1.4873,"0,12","1,37","1,61","10483,682811","98,97","449,23",0,1900-01-01,0.3236000000000001,-1.1637,-0.5763999999999999,0.0010000000000001
728032,1606989,2023-07-24,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6486,1.3251,1.4886,"0,12","1,37","1,61","10489,387043","98,97","448,21",0,1900-01-01,0.3235000000000001,-1.1650999999999998,-0.5764999999999999,0.0012999999999998
728806,1608537,2023-07-25,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6469,1.3233,1.488,"0,12","1,37","1,61","10495,379818","98,97","447,46",0,1900-01-01,0.3236000000000001,-1.1644,-0.5763999999999999,-0.0005999999999999
729580,1610104,2023-07-26,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6437,1.3181,1.4827,"0,08","1,4","1,56","10502,264924","98,98","446,6",0,1900-01-01,0.3255999999999999,-1.1571,-0.5744000000000001,-0.0053
730371,1611684,2023-07-27,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6423,1.319,1.4791,"0,08","1,4","1,56","10508,896567","98,99","445,5",0,1900-01-01,0.3233000000000001,-1.1558,-0.5766999999999999,-0.0035999999999998
731160,1613262,2023-07-28,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6247,1.3324,1.4781,"0,12","1,36","1,6","10515,058684",99,"444,38",0,1900-01-01,0.2923,-1.1858,-0.6077,-0.0010000000000001
731949,1614840,2023-07-31,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.625,1.3355,1.478,"0,13","1,34","1,61","10521,002066",99,"443,49",0,1900-01-01,0.2895000000000001,-1.1885,-0.6104999999999999,-9.9999999999989e-05
732738,1616418,2023-08-01,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6106,1.3078,1.4704,"0,09","1,38","1,56","10528,377964","99,01","442,35",0,1900-01-01,0.3027999999999999,-1.1676,-0.5972000000000001,-0.0076
733527,1617996,2023-08-02,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6027,1.2806,1.458,"0,07","1,38","1,53","10536,613614","99,04","441,27",0,1900-01-01,0.3221,-1.1359,-0.5779,-0.0123999999999999
734316,1619574,2023-08-03,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6,1.284,1.4462,"0,08","1,36","1,53","10544,586667","99,06","440,85",0,1900-01-01,0.316,-1.1302,-0.584,-0.0118
735105,1621152,2023-08-04,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6012,1.2871,1.4423,"0,09","1,36","1,53","10551,076613","99,07","439,81",0,1900-01-01,0.3141,-1.1282,-0.5859,-0.0039
735894,1622730,2023-08-07,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.5705,1.267,1.4334,"0,09","1,34","1,53","10558,502088","99,09","438,65",0,1900-01-01,0.3035000000000001,-1.1299,-0.5964999999999999,-0.0088999999999999
736683,1624308,2023-08-08,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.588,1.2611,1.4303,"0,09","1,34","1,52","10564,782715","99,09","437,9",0,1900-01-01,0.3268999999999999,-1.1034,-0.5731,-0.0031000000000001
737472,1625886,2023-08-09,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.5475,1.2792,1.4632,"0,12","1,34","1,59","10564,623679","99,04","436,82",0,1900-01-01,0.2683000000000002,-1.1949,-0.6316999999999998,0.0329000000000001
738261,1627464,2023-08-10,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.5317,1.2671,1.4473,"0,15","1,3","1,6","10573,256108","99,07","435,95",35,1900-01-01,0.2646000000000001,-1.1827,-0.6353999999999999,-0.0159
739050,1631908,2023-08-11,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.547,1.2677,1.4171,"0,1","1,32","1,51","10584,457355","99,12","435,11",10,1900-01-01,0.2792999999999999,-1.1378,-0.6207000000000001,-0.0302
739839,1633486,2023-08-14,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.5108,1.2582,1.3774,"0,07","1,31","1,44","10597,45873","99,19","433,79",5,1900-01-01,0.2525999999999999,-1.1248,-0.6474000000000001,-0.0397
740628,1635063,2023-08-15,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.524,1.2393,1.372,"0,1","1,27","1,47","9914,623078","99,15","462,76",0,1900-01-01,0.2846999999999999,-1.0873000000000002,-0.6153000000000001,-0.0053999999999998
741416,1636639,2023-08-16,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.4759,1.2102,1.3468,"0,08","1,27","1,43","9924,549753","99,19","461,73",0,1900-01-01,0.2657,-1.0811,-0.6343,-0.0252000000000001
742204,1638215,2023-08-17,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3956,1.2069,1.318,"0,09","1,23","1,41","9935,12757","99,25","460,62",0,1900-01-01,0.1886999999999998,-1.1293000000000002,-0.7113000000000002,-0.0287999999999999
742992,1639791,2023-08-18,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.407,1.1911,1.3065,"0,09","1,22","1,39","9942,569249","99,27","459,67",0,1900-01-01,0.2158999999999999,-1.0906,-0.6841,-0.0115
743780,1641367,2023-08-21,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.4147,1.1496,1.2811,"0,08","1,2","1,36","9952,533671","99,32","458,45",0,1900-01-01,0.2651000000000001,-1.0159999999999998,-0.6348999999999999,-0.0254
744568,1643003,2023-08-22,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3688,1.1679,1.2808,"0,06","1,22","1,34","9957,944357","99,32","457,63",35,1900-01-01,0.2009,-1.0799,-0.6990999999999999,-0.0002999999999999
745356,1645963,2023-08-23,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3792,1.1801,1.2884,"0,07","1,22","1,36","9961,938621","99,31","456,87",10,1900-01-01,0.1991,-1.0893,-0.7009,0.0076
746144,1647539,2023-08-24,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3684,1.164,1.2763,"0,05","1,23","1,33","9969,467218","99,33",456,5,1900-01-01,0.2044000000000001,-1.0719,-0.6955999999999999,-0.0121
746932,1649115,2023-08-25,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3553,1.1173,1.2485,"0,07","1,18","1,31","9979,850224","99,38","454,68",0,1900-01-01,0.238,-1.0105,-0.662,-0.0278
747720,1650710,2023-08-28,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3652,1.0723,1.2381,"0,09","1,15","1,32","9987,091184","99,4","453,63",0,1900-01-01,0.2928999999999999,-0.9452,-0.6071000000000001,-0.0103999999999999
748527,1652324,2023-08-29,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3668,1.0386,1.2235,"0,11","1,11","1,33","9995,046723","99,43","452,79",0,1900-01-01,0.3282,-0.8953,-0.5718,-0.0145999999999999
749334,1653938,2023-08-30,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3534,1.0361,1.2178,"0,09","1,13","1,31","10001,432801","99,44","451,85",0,1900-01-01,0.3172999999999999,-0.9005000000000001,-0.5827000000000001,-0.0057
750141,1655551,2023-08-31,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3703,1.0324,1.2303,"0,09","1,14","1,32","10004,645124","99,42","450,55",0,1900-01-01,0.3379000000000001,-0.8923999999999999,-0.5620999999999999,0.0124999999999999
750947,1657163,2023-09-01,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3682,1.0523,1.2275,"0,11","1,11","1,34","10010,550408","99,42","449,4",0,1900-01-01,0.3159,-0.9116,-0.5841,-0.0027999999999999
751753,1658775,2023-09-04,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3481,1.0457,1.2216,"0,07","1,15","1,29","10016,991274","99,44","448,34",0,1900-01-01,0.3024,-0.9192,-0.5976,-0.0059
